"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00138738","한스종합금융","","E","[첨부추가]사업보고서 (2000.03)","20000629000145","한스종합금융","20000629","연"
"00138738","한스종합금융","","E","사업보고서 (1998.03)","19990629000024","한스종합금융","19990629","연"
