"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00100276","갑을","","E","사업보고서 (2004.12)","20050331002120","갑을","20050331",""
"00100276","갑을","","E","[첨부추가]사업보고서 (2002.12)","20030331001972","갑을","20030331","연"
"00100276","갑을","","E","[첨부추가]사업보고서 (2001.12)","20020401000184","갑을","20020401","정연"
"00100276","갑을","","E","[기재정정]사업보고서 (2001.12)","20020401001305","갑을","20020401","연"
"00100276","갑을","","E","[첨부추가]사업보고서 (2000.12)","20010331000256","갑을","20010331","연"
"00100276","갑을","","E","사업보고서 (1999.12)","20000330000578","갑을","20000330","연"
"00100276","갑을","","E","[기재정정]사업보고서 (1998.12)","19990701000010","갑을","19990701","연"
"00100276","갑을","","E","사업보고서 (1998.12)","19990406000014","갑을","19990406","정연"
