"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00101673","경북가스","","E","감사보고서 (2019.12)","20200406003053","대건공인회계사감사반(제337호)","20200406",""
"00101673","경북가스","","E","감사보고서 (2018.12)","20190404000130","대건공인회계사감사반(제337호)","20190404",""
"00101673","경북가스","","E","감사보고서 (2017.12)","20180402002468","세연회계법인","20180402",""
"00101673","경북가스","","E","감사보고서 (2016.12)","20170404000622","태평양공인회계사감사반(제39호)","20170404",""
"00101673","경북가스","","E","감사보고서 (2015.12)","20160404001992","태평양공인회계사감사반(제39호)","20160404",""
"00101673","경북가스","","E","감사보고서 (2014.12)","20150331003048","태평양공인회계사감사반(제39호)","20150331",""
"00101673","경북가스","","E","감사보고서 (2013.12)","20140401000052","태평양공인회계사감사반(제39호)","20140401",""
"00101673","경북가스","","E","감사보고서 (2012.12)","20130401003323","태평양공인회계사감사반(제39호)","20130401",""
"00101673","경북가스","","E","감사보고서 (2011.12)","20120402002098","태평양공인회계사감사반(제39호)","20120403",""
"00101673","경북가스","","E","감사보고서 (2010.12)","20110401000758","태평양공인회계사감사반(제39호)","20110401",""
"00101673","경북가스","","E","감사보고서 (2009.12)","20100331002987","태평양공인회계사감사반(제39호)","20100331",""
"00101673","경북가스","","E","감사보고서 (2008.12)","20090401000705","태평양공인회계사감사반(제39호)","20090401",""
"00101673","경북가스","","E","감사보고서 (2007.12)","20080324000162","태평양공인회계사감사반(제39호)","20080324",""
"00101673","경북가스","","E","감사보고서 (2006.12)","20070409000443","태평양공인회계사감사반(제39호)","20070409",""
"00101673","경북가스","","E","감사보고서 (2005.12)","20060407000717","태평양공인회계사감사반(제39호)","20060407",""
"00101673","경북가스","","E","감사보고서 (2004.12)","20050411000055","태평양공인회계사감사반(제39호)","20050411",""
"00101673","경북가스","","E","감사보고서 (2003.12)","20040406000092","태평양공인회계사감사반(제39호)","20040406",""
"00101673","경북가스","","E","감사보고서 (2002.12)","20030407000829","태평양공인회계사감사반(제39호)","20030408",""
"00101673","경북가스","","E","감사보고서 (2001.12)","20020415000077","태평양공인회계사감사반(제39호)","20020415",""
"00101673","경북가스","","E","감사보고서 (2000.12)","20010409000386","태평양공인회계사감사반(제39호)","20010409",""
"00101673","경북가스","","E","감사보고서 (1999.12)","20000425000138","태평양공인회계사감사반(제39호)","20000425",""
