"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00264529","엔플렉스","040130","E","사업보고서 (2003.12)","20040330002438","엔플렉스","20040330",""
"00264529","엔플렉스","040130","E","사업보고서 (2002.12)","20030331001225","엔플렉스","20030331",""
"00264529","엔플렉스","040130","E","[기재정정]사업보고서 (2001.12)","20020402000377","엔플렉스","20020402",""
"00264529","엔플렉스","040130","E","사업보고서 (2001.12)","20020329001270","엔플렉스","20020330","정"
"00264529","엔플렉스","040130","E","[기재정정]사업보고서 (2000.12)","20010404000605","엔플렉스","20010406",""
"00264529","엔플렉스","040130","E","사업보고서 (2000.12)","20010330001129","엔플렉스","20010330","정"
