"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00300566","엔빅스","054170","E","사업보고서 (2010.12)","20110330000661","엔빅스","20110330",""
"00300566","엔빅스","054170","E","사업보고서 (2009.12)","20100331001425","엔빅스","20100331",""
"00300566","엔빅스","054170","E","사업보고서 (2008.12)","20090331002431","엔빅스","20090331",""
"00300566","엔빅스","054170","E","사업보고서 (2007.12)","20080328001084","엔빅스","20080328",""
"00300566","엔빅스","054170","E","사업보고서 (2006.12)","20070330001821","엔빅스","20070330",""
"00300566","엔빅스","054170","E","사업보고서 (2005.12)","20060331000780","엔빅스","20060331",""
"00300566","엔빅스","054170","E","[기재정정]사업보고서 (2004.12)","20050429001446","엔빅스","20050430",""
"00300566","엔빅스","054170","E","사업보고서 (2004.12)","20050331001412","엔빅스","20050331","정"
"00300566","엔빅스","054170","E","[기재정정]사업보고서 (2003.12)","20040521000131","엔빅스","20040521",""
"00300566","엔빅스","054170","E","[기재정정]사업보고서 (2003.12)","20040521000126","엔빅스","20040521","정"
"00300566","엔빅스","054170","E","사업보고서 (2003.12)","20040330000990","엔빅스","20040330","정"
"00300566","엔빅스","054170","E","사업보고서 (2002.12)","20030331001147","엔빅스","20030331",""
"00300566","엔빅스","054170","E","사업보고서 (2001.12)","20020401000149","엔빅스","20020401",""
