"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00507257","아이알디","084810","E","사업보고서 (2009.12)","20100429000744","아이알디","20100429",""
"00507257","아이알디","084810","E","[첨부추가]사업보고서 (2008.12)","20090331002005","아이알디","20090331","정연"
"00507257","아이알디","084810","E","[기재정정]사업보고서 (2008.12)","20090430000546","아이알디","20090430","연"
"00507257","아이알디","084810","E","사업보고서 (2007.12)","20080331000641","아이알디","20080331",""
"00507257","아이알디","084810","E","[첨부추가]사업보고서 (2006.12)","20070330001837","아이알디","20070330",""
