"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00344746","유티엑스","045880","E","[첨부추가]사업보고서 (2009.09)","20091229000122","유티엑스","20091229","정연"
"00344746","유티엑스","045880","E","[기재정정]사업보고서 (2009.09)","20091230000238","유티엑스","20091230","연"
"00344746","유티엑스","045880","E","[기재정정]사업보고서 (2008.12)","20090513002939","유티엑스","20090513","연"
"00344746","유티엑스","045880","E","[첨부추가]사업보고서 (2008.12)","20090331002580","유티엑스","20090331","정연"
"00344746","유티엑스","045880","E","[기재정정]사업보고서 (2008.12)","20090410001327","유티엑스","20090410","정연"
"00344746","유티엑스","045880","E","[기재정정]사업보고서 (2007.12)","20080411001502","유티엑스","20080411",""
"00344746","유티엑스","045880","E","사업보고서 (2007.12)","20080320000182","유티엑스","20080320","정"
"00344746","유티엑스","045880","E","사업보고서 (2006.12)","20070330000812","유티엑스","20070330",""
"00344746","유티엑스","045880","E","사업보고서 (2005.12)","20060330001378","유티엑스","20060330",""
"00344746","유티엑스","045880","E","사업보고서 (2004.12)","20050330000876","유티엑스","20050330",""
"00344746","유티엑스","045880","E","[기재정정]사업보고서 (2003.12)","20040607000092","유티엑스","20040607",""
"00344746","유티엑스","045880","E","사업보고서 (2003.12)","20040330000987","유티엑스","20040330","정"
"00344746","유티엑스","045880","E","사업보고서 (2002.12)","20030331002054","유티엑스","20030331",""
"00344746","유티엑스","045880","E","사업보고서 (2001.12)","20020401000818","유티엑스","20020401",""
