"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00268020","쏠라엔텍","030390","E","사업보고서 (2009.12)","20100331001534","쏠라엔텍","20100331",""
"00268020","쏠라엔텍","030390","E","[첨부추가]사업보고서 (2008.12)","20090331003322","쏠라엔텍","20090331","정연"
"00268020","쏠라엔텍","030390","E","[기재정정]사업보고서 (2008.12)","20090401000001","쏠라엔텍","20090401","연"
"00268020","쏠라엔텍","030390","E","[첨부추가]사업보고서 (2007.12)","20080331003265","쏠라엔텍","20080331","정연"
"00268020","쏠라엔텍","030390","E","[기재정정]사업보고서 (2007.12)","20080508001547","쏠라엔텍","20080508","연"
"00268020","쏠라엔텍","030390","E","[첨부정정]사업보고서 (2007.12)","20080430001540","쏠라엔텍","20080430","정연"
"00268020","쏠라엔텍","030390","E","[기재정정]사업보고서 (2007.12)","20080402001102","쏠라엔텍","20080402","정연"
"00268020","쏠라엔텍","030390","E","[첨부추가]사업보고서 (2006.12)","20070330000598","쏠라엔텍","20070330","정연"
"00268020","쏠라엔텍","030390","E","[기재정정]사업보고서 (2006.12)","20070330001186","쏠라엔텍","20070330","연"
"00268020","쏠라엔텍","030390","E","사업보고서 (2005.12)","20060331002333","쏠라엔텍","20060331",""
"00268020","쏠라엔텍","030390","E","[기재정정]사업보고서 (2004.12)","20050429001322","쏠라엔텍","20050429","연"
"00268020","쏠라엔텍","030390","E","[첨부추가]사업보고서 (2004.12)","20050331001498","쏠라엔텍","20050331","정연"
"00268020","쏠라엔텍","030390","E","[첨부추가]사업보고서 (2003.12)","20040330001485","쏠라엔텍","20040330","연"
"00268020","쏠라엔텍","030390","E","사업보고서 (2002.12)","20030331000648","쏠라엔텍","20030331",""
"00268020","쏠라엔텍","030390","E","사업보고서 (2001.12)","20020401001324","쏠라엔텍","20020401",""
"00268020","쏠라엔텍","030390","E","[기재정정]사업보고서 (2000.12)","20010406000250","쏠라엔텍","20010406",""
"00268020","쏠라엔텍","030390","E","사업보고서 (2000.12)","20010330000038","쏠라엔텍","20010330","정"
"00268020","쏠라엔텍","030390","E","사업보고서 (1999.12)","20000330000330","쏠라엔텍","20000330",""
