"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00261188","글로포스트","037830","E","사업보고서 (2009.12)","20100331002961","글로포스트","20100331",""
"00261188","글로포스트","037830","E","[첨부정정]사업보고서 (2008.12)","20090623000230","글로포스트","20090623","연"
"00261188","글로포스트","037830","E","[첨부정정]사업보고서 (2008.12)","20090515001990","글로포스트","20090515","정연"
"00261188","글로포스트","037830","E","[첨부추가]사업보고서 (2008.12)","20090330001129","글로포스트","20090330","정연"
"00261188","글로포스트","037830","E","[첨부추가]사업보고서 (2007.12)","20080331001513","글로포스트","20080331","연"
"00261188","글로포스트","037830","E","사업보고서 (2006.12)","20070330001878","글로포스트","20070330",""
"00261188","글로포스트","037830","E","[첨부추가]사업보고서 (2005.12)","20060228000438","글로포스트","20060228","연"
"00261188","글로포스트","037830","E","[기재정정]사업보고서 (2004.12)","20050331000810","글로포스트","20050331",""
"00261188","글로포스트","037830","E","사업보고서 (2004.12)","20050330000469","글로포스트","20050330","정"
"00261188","글로포스트","037830","E","[기재정정]사업보고서 (2003.12)","20040512000832","글로포스트","20040512",""
"00261188","글로포스트","037830","E","사업보고서 (2003.12)","20040330002371","글로포스트","20040330","정"
"00261188","글로포스트","037830","E","[기재정정]사업보고서 (2002.12)","20030401000136","글로포스트","20030401",""
"00261188","글로포스트","037830","E","사업보고서 (2002.12)","20030331002192","글로포스트","20030331","정"
"00261188","글로포스트","037830","E","사업보고서 (2001.12)","20020330000965","글로포스트","20020330",""
