"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00164414","이랜드","","E","사업보고서 (2010.12)","20110331001808","이랜드","20110331",""
"00164414","이랜드","","E","사업보고서 (2008.12)","20090331003273","이랜드","20090331",""
"00164414","이랜드","","E","사업보고서 (2007.12)","20080331001912","이랜드","20080331",""
"00164414","이랜드","","E","사업보고서 (2006.12)","20070330002347","이랜드","20070330",""
"00164414","이랜드","","E","사업보고서 (2005.12)","20060330001153","이랜드","20060330",""
"00164414","이랜드","","E","사업보고서 (2004.12)","20050330001776","이랜드","20050331",""
"00164414","이랜드","","E","사업보고서 (2003.12)","20040330001918","이랜드","20040330",""
"00164414","이랜드","","E","사업보고서 (2002.12)","20030329000211","이랜드","20030329",""
"00164414","이랜드","","E","사업보고서 (2001.12)","20020328000836","이랜드","20020329",""
"00164414","이랜드","","E","사업보고서 (2000.12)","20010331000557","이랜드","20010331",""
