,corp_code,corp_name,stock_code,modify_date
0,00431042,거버너스M&A사모펀드3호, ,20170630
0,00348715,아이앤비골드문브이에이치, ,20170630
0,00447964,체리미디어, ,20170630
0,00448361,경원하이텍, ,20170630
0,00185851,중원화학, ,20170630
0,00445735,나크나인, ,20170630
0,00385770,동남해상관광호텔, ,20170630
0,00319245,한성선박, ,20170630
0,00126502,삼성콘크리트공업, ,20170630
0,00363440,엠알더블유테크노로지, ,20170630
0,00445522,제이에이치홀딩스, ,20170630
0,00320302,동연산업, ,20170630
0,00444958,우양주택건설, ,20170630
0,00441836,해진하우징, ,20170630
0,00445203,대림전자, ,20170630
0,00445629,효헌산업, ,20170630
0,00454052,우림산업개발, ,20170630
0,00454414,에이스하이테크, ,20170630
0,00196857,해표푸드서비스, ,20170630
0,00413383,에프씨산업, ,20170630
0,00225098,극동뉴메릭, ,20170630
0,00410304,서울드림랜드, ,20170630
0,00310998,한국미라이공업, ,20170630
0,00415114,21세기화장품, ,20170630
0,00451000,광명산업, ,20170630
0,00369985,다음솔루션, ,20170630
0,00199809,이성화학, ,20170630
0,00371670,정우조명, ,20170630
0,00401430,모바일웰컴, ,20170630
0,00247027,푸른건설, ,20170630
0,00144058,월다크, ,20170630
0,00416867,길도건업, ,20170630
0,00456263,원일스포지움, ,20170630
0,00436339,용인자원, ,20170630
0,00120748,마산강관, ,20170630
0,00386724,세창철강공업, ,20170630
0,00255390,재무와정보, ,20170630
0,00455547,대양중공업, ,20170630
0,00233398,이에이지씨, ,20170630
0,00405065,페타코페트로륨, ,20170630
0,00425537,MarubeniCorporation, ,20170630
0,00424158,캐피탈라인, ,20170630
0,00100920,건설증권, ,20170630
0,00370167,일진전자통신, ,20170630
0,00409131,오픈솔루션, ,20170630
0,00424194,AMERICAORIENTALGROUP, ,20170630
0,00364713,mvp창업투자, ,20170630
0,00408901,라이져, ,20170630
0,00161170,한라시멘트, ,20170630
0,00423557,한국알리안츠화재해상보험, ,20170630
0,00307444,코리아벌처투자, ,20170630
0,00370468,티에스케이지, ,20170630
0,00424547,메리츠투자자문, ,20170630
0,00424219,텔레닉스, ,20170630
0,00424185,유니텍워터시스템즈, ,20170630
0,00424556,거륜씨앤씨, ,20170630
0,00121631,문화, ,20170630
0,00424866,모비도미, ,20170630
0,00424884,에이치케이인베스트먼트유동화전문유한회사, ,20170630
0,00424927,LiquidmetalTechnologies, ,20170630
0,00423797,모멘타(케이만), ,20170630
