"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00147408","전일실업","","E","감사보고서 (2003.12)","20040407000358","삼일회계법인","20040407",""
"00147408","전일실업","","E","감사보고서 (2002.12)","20030411000506","삼일회계법인","20030411",""
"00147408","전일실업","","E","감사보고서 (2001.12)","20020410000426","삼일회계법인","20020410",""
"00147408","전일실업","","E","감사보고서 (2000.12)","20010409000550","삼일회계법인","20010409",""
"00147408","전일실업","","E","감사보고서 (1999.12)","20000404000034","삼일회계법인","20000404",""
