"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00217929","크라운컨트리클럽","","E","[기재정정]감사보고서 (2003.12)","20040407000348","대성회계법인","20040407",""
"00217929","크라운컨트리클럽","","E","감사보고서 (2003.12)","20040407000142","대성회계법인","20040407","정"
"00217929","크라운컨트리클럽","","E","감사보고서 (2002.12)","20030404000651","대성회계법인","20030404",""
"00217929","크라운컨트리클럽","","E","감사보고서 (2001.12)","20020403000513","대성회계법인","20020403",""
"00217929","크라운컨트리클럽","","E","감사보고서 (2000.12)","20010413000336","인덕회계법인","20010413",""
"00217929","크라운컨트리클럽","","E","감사보고서 (1999.12)","20000329000279","인덕회계법인","20000329",""
