"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00118831","아이넥스테크놀로지","","E","감사보고서 (2001.12)","20020329000629","삼일회계법인","20020329",""
"00118831","아이넥스테크놀로지","","E","연결감사보고서 (2000.12)","20010428000094","삼정회계법인","20010428",""
"00118831","아이넥스테크놀로지","","E","감사보고서 (2000.12)","20010326000510","삼정회계법인","20010327",""
"00118831","아이넥스테크놀로지","","E","연결감사보고서 (1999.12)","20000428000119","산동회계법인","20000428",""
"00118831","아이넥스테크놀로지","","E","감사보고서 (1999.12)","20000331000151","산동회계법인","20000331",""
