"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00189097","훼스트시스템","","E","감사보고서 (2003.12)","20040331000710","제원회계법인","20040331",""
"00189097","훼스트시스템","","E","감사보고서 (2002.12)","20030402000335","제원회계법인","20030402",""
"00189097","훼스트시스템","","E","감사보고서 (2001.12)","20020329000194","제원회계법인","20020329",""
"00189097","훼스트시스템","","E","감사보고서 (2000.12)","20010329000731","제원회계법인","20010330",""
"00189097","훼스트시스템","","E","감사보고서 (1999.12)","20000330000458","제원회계법인","20000330",""
