"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00134097","세연산업","","E","연결감사보고서 (2002.12)","20030430000199","신원회계법인","20030430",""
"00134097","세연산업","","E","감사보고서 (2002.12)","20030407000256","신원회계법인","20030407",""
"00134097","세연산업","","E","연결감사보고서 (2001.12)","20020503000447","신원회계법인","20020503",""
"00134097","세연산업","","E","감사보고서 (2001.12)","20020410000686","신원회계법인","20020410",""
"00134097","세연산업","","E","연결감사보고서 (2000.12)","20010430000195","신원회계법인","20010430",""
"00134097","세연산업","","E","감사보고서 (2000.12)","20010412000479","신원회계법인","20010412",""
"00134097","세연산업","","E","연결감사보고서 (1999.12)","20000502000057","신원회계법인","20000502",""
"00134097","세연산업","","E","감사보고서 (1999.12)","20000412000404","신원회계법인","20000412",""
