"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00117753","동양화학공업","","E","연결감사보고서 (2000.12)","20010430000025","삼일회계법인","20010430",""
"00117753","동양화학공업","","E","[기재정정]감사보고서 (2000.12)","20010410000837","삼일회계법인","20010411",""
"00117753","동양화학공업","","E","감사보고서 (2000.12)","20010326000083","삼일회계법인","20010326","정"
"00117753","동양화학공업","","E","[기재정정]감사보고서 (1999.12)","20000609000289","삼일회계법인","20000609",""
"00117753","동양화학공업","","E","연결감사보고서 (1999.12)","20000426000036","삼일회계법인","20000426",""
"00117753","동양화학공업","","E","감사보고서 (1999.12)","20000330000714","삼일회계법인","20000330","정"
