"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00257352","슐럼버제코리아","","E","감사보고서 (2003.12)","20040622000075","제333호공인회계사감사반","20040622",""
"00257352","슐럼버제코리아","","E","감사보고서 (2002.12)","20030410000902","제333호공인회계사감사반","20030410",""
"00257352","슐럼버제코리아","","E","[기재정정]감사보고서 (2001.12)","20020410000112","제333호공인회계사감사반","20020410",""
"00257352","슐럼버제코리아","","E","감사보고서 (2001.12)","20020409000583","제333호공인회계사감사반","20020409","정"
"00257352","슐럼버제코리아","","E","감사보고서 (2000.12)","20010410000846","안진회계법인","20010411",""
"00257352","슐럼버제코리아","","E","감사보고서 (1999.12)","20000407000175","안진회계법인","20000407",""
