"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00154499","태화","","E","감사보고서 (2002.12)","20030401000459","삼일회계법인","20030401",""
"00154499","태화","","E","감사보고서 (2001.12)","20020404000407","삼일회계법인","20020404",""
"00154499","태화","","E","연결감사보고서 (2000.12)","20010430000351","삼일회계법인","20010430",""
"00154499","태화","","E","감사보고서 (2000.12)","20010406000377","삼일회계법인","20010406",""
"00154499","태화","","E","연결감사보고서 (1999.12)","20000428000345","삼일회계법인","20000429",""
"00154499","태화","","E","감사보고서 (1999.12)","20000404000008","삼일회계법인","20000404",""
