"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00190996","삼정건설","","E","감사보고서 (2003.12)","20040408000400","선일회계법인","20040408",""
"00190996","삼정건설","","E","감사보고서 (2002.12)","20030407000112","선일회계법인","20030407",""
"00190996","삼정건설","","E","감사보고서 (2001.12)","20020408000086","신우회계법인","20020408",""
"00190996","삼정건설","","E","감사보고서 (2000.12)","20010330000815","신우회계법인","20010330",""
"00190996","삼정건설","","E","감사보고서 (1999.12)","20000411000268","신우회계법인","20000411",""
