"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00204147","부라더유통","","E","감사보고서 (2003.09)","20040109000194","한길회계법인","20040109",""
"00204147","부라더유통","","E","감사보고서 (2002.09)","20030113000018","한길회계법인","20030113",""
"00204147","부라더유통","","E","감사보고서 (2001.09)","20020114000086","한길회계법인","20020114",""
"00204147","부라더유통","","E","[기재정정]감사보고서 (2000.09)","20010108000068","한길회계법인","20010108",""
"00204147","부라더유통","","E","감사보고서 (2000.09)","20001229000287","한길회계법인","20001230","정"
