"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00336686","현대티타늄","","E","감사보고서 (2004.12)","20050412000070","세정공인회계사감사반(제218호)","20050412",""
"00336686","현대티타늄","","E","감사보고서 (2003.12)","20040412000748","세정공인회계사감사반(제218호)","20040412",""
"00336686","현대티타늄","","E","감사보고서 (2002.12)","20030408000923","신우회계법인","20030409",""
"00336686","현대티타늄","","E","감사보고서 (2001.12)","20020411000136","신우회계법인","20020411",""
"00336686","현대티타늄","","E","[기재정정]감사보고서 (2000.12)","20020131000082","원일공인회계사감사반(제106호)","20020131",""
"00336686","현대티타늄","","E","감사보고서 (2001.12)","20010331000410","원일공인회계사감사반(제106호)","20010331","정"
