"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00256584","팬아시아페이퍼청원","","E","감사보고서 (2002.12)","20030403000366","삼일회계법인","20030403",""
"00256584","팬아시아페이퍼청원","","E","감사보고서 (2001.12)","20020409000813","안건회계법인","20020410",""
"00256584","팬아시아페이퍼청원","","E","감사보고서 (2000.12)","20010404000435","안건회계법인","20010404",""
"00256584","팬아시아페이퍼청원","","E","감사보고서 (2000.12)","20010404000434","안건회계법인","20010404",""
"00256584","팬아시아페이퍼청원","","E","감사보고서 (1999.12)","20000406000310","안건회계법인","20000406",""
