"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00209391","조광종합건설","","E","감사보고서 (2003.12)","20040413000041","안건회계법인","20040413",""
"00209391","조광종합건설","","E","감사보고서 (2002.12)","20030414000475","안건회계법인","20030414",""
"00209391","조광종합건설","","E","감사보고서 (2001.12)","20020410000905","안건회계법인","20020410",""
"00209391","조광종합건설","","E","감사보고서 (2000.12)","20010410000863","안건회계법인","20010411",""
"00209391","조광종합건설","","E","감사보고서 (1999.12)","20000404000185","안건회계법인","20000404",""
