"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00174022","유창섬유","","E","감사보고서 (2003.12)","20040408000477","호산공인회계사감사반(제147호)","20040408",""
"00174022","유창섬유","","E","감사보고서 (2002.12)","20030411000646","호산공인회계사감사반(제147호)","20030411",""
"00174022","유창섬유","","E","감사보고서 (2001.12)","20020406000066","호산공인회계사감사반(제147호)","20020406",""
"00174022","유창섬유","","E","감사보고서 (2000.12)","20010406000430","호산공인회계사감사반(제147호)","20010406",""
"00174022","유창섬유","","E","감사보고서 (1999.12)","20000412000379","호산공인회계사감사반(제147호)","20000412",""
