"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00203661","건양산업","","E","감사보고서 (2003.06)","20031008000122","한영회계법인","20031008",""
"00203661","건양산업","","E","감사보고서 (2002.06)","20021011000010","한영회계법인","20021011",""
"00203661","건양산업","","E","[기재정정]감사보고서 (2001.06)","20011123000065","한영회계법인","20011123",""
"00203661","건양산업","","E","감사보고서 (2001.06)","20011123000063","한영회계법인","20011123","정"
"00203661","건양산업","","E","감사보고서 (2000.06)","20001013000066","한영회계법인","20001013",""
