"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00148452","GPS","","E","연결감사보고서 (2001.12)","20020430000407","대성삼경회계법인","20020430",""
"00148452","GPS","","E","감사보고서 (2001.12)","20020402000693","대성삼경회계법인","20020402",""
"00148452","GPS","","E","연결감사보고서 (2000.12)","20010430000005","대성삼경회계법인","20010430",""
"00148452","GPS","","E","감사보고서 (2000.12)","20010406000035","대성삼경회계법인","20010406",""
"00148452","GPS","","E","연결감사보고서 (1999.12)","20000428000145","대성삼경회계법인","20000428",""
"00148452","GPS","","E","감사보고서 (1999.12)","20000422000015","대성삼경회계법인","20000422",""
